ABV_CUSTOMER_ID,SEGMENT_NAME,SEGMENT_VALUE,IREP_EMAIL_OPEN,NPP_TRANSACTION_TOUCHPOINTS,ISA_CALL_COUNT
195615,ONCOLOGY CLL DECILE GROUP,High,2,129,5
195794,ONCOLOGY CLL DECILE GROUP,High,1,1012,1
195955,ONCOLOGY CLL DECILE GROUP,High,18,39,10
196209,ONCOLOGY CLL DECILE GROUP,High,85,29,20
196382,ONCOLOGY CLL DECILE GROUP,High,0,9,4
196457,ONCOLOGY CLL DECILE GROUP,High,8,53,2
196549,ONCOLOGY CLL DECILE GROUP,High,4,206,15
214478,ONCOLOGY CLL DECILE GROUP,High,1,76,4
217241,ONCOLOGY CLL DECILE GROUP,High,1,153,4
224736,ONCOLOGY CLL DECILE GROUP,High,0,139,1
217246,ONCOLOGY CLL DECILE GROUP,High,0,24,4
217492,ONCOLOGY CLL DECILE GROUP,High,5,487,2
219598,ONCOLOGY CLL DECILE GROUP,High,9,372,14
221181,ONCOLOGY CLL DECILE GROUP,High,5,81,2
222401,ONCOLOGY CLL DECILE GROUP,High,7,111,1
222889,ONCOLOGY CLL DECILE GROUP,High,4,71,1
223021,ONCOLOGY CLL DECILE GROUP,High,0,903,0
226828,ONCOLOGY CLL DECILE GROUP,High,5,397,1
227109,ONCOLOGY CLL DECILE GROUP,High,4,34,0
232680,ONCOLOGY CLL DECILE GROUP,High,0,116,3
233058,ONCOLOGY CLL DECILE GROUP,High,0,0,5
228303,ONCOLOGY CLL DECILE GROUP,High,0,154,23
233871,ONCOLOGY CLL DECILE GROUP,High,62,123,64
228412,ONCOLOGY CLL DECILE GROUP,High,5,656,12
228539,ONCOLOGY CLL DECILE GROUP,High,22,155,15
236070,ONCOLOGY CLL DECILE GROUP,High,0,662,6
228552,ONCOLOGY CLL DECILE GROUP,High,0,318,8
236978,ONCOLOGY CLL DECILE GROUP,High,4,61,26
237275,ONCOLOGY CLL DECILE GROUP,High,2,0,0
237519,ONCOLOGY CLL DECILE GROUP,High,1,277,14
230681,ONCOLOGY CLL DECILE GROUP,High,0,516,10
237784,ONCOLOGY CLL DECILE GROUP,High,26,71,9
237803,ONCOLOGY CLL DECILE GROUP,High,0,131,2
237903,ONCOLOGY CLL DECILE GROUP,High,6,346,18
239431,ONCOLOGY CLL DECILE GROUP,High,1,17,0
232562,ONCOLOGY CLL DECILE GROUP,High,4,164,3
243834,ONCOLOGY CLL DECILE GROUP,High,87,50,11
241400,ONCOLOGY CLL DECILE GROUP,High,6,0,17
243987,ONCOLOGY CLL DECILE GROUP,High,4,36,8
241451,ONCOLOGY CLL DECILE GROUP,High,0,117,1
244115,ONCOLOGY CLL DECILE GROUP,High,2,133,4
244225,ONCOLOGY CLL DECILE GROUP,High,7,45,6
242201,ONCOLOGY CLL DECILE GROUP,High,0,0,10
242529,ONCOLOGY CLL DECILE GROUP,High,18,132,4
243113,ONCOLOGY CLL DECILE GROUP,High,8,563,3
244995,ONCOLOGY CLL DECILE GROUP,High,6,144,8
243331,ONCOLOGY CLL DECILE GROUP,High,9,152,5
245755,ONCOLOGY CLL DECILE GROUP,High,2,190,9
249804,ONCOLOGY CLL DECILE GROUP,High,0,269,0
250248,ONCOLOGY CLL DECILE GROUP,High,4,5,1
251117,ONCOLOGY CLL DECILE GROUP,High,2,248,5
251620,ONCOLOGY CLL DECILE GROUP,High,11,367,4
246293,ONCOLOGY CLL DECILE GROUP,High,0,7,8
246365,ONCOLOGY CLL DECILE GROUP,High,5,13,7
253489,ONCOLOGY CLL DECILE GROUP,High,0,42,5
254575,ONCOLOGY CLL DECILE GROUP,High,7,160,9
254607,ONCOLOGY CLL DECILE GROUP,High,2,318,1
255227,ONCOLOGY CLL DECILE GROUP,High,0,1,5
255399,ONCOLOGY CLL DECILE GROUP,High,0,422,13
255472,ONCOLOGY CLL DECILE GROUP,High,9,230,12
246881,ONCOLOGY CLL DECILE GROUP,High,12,384,9
255612,ONCOLOGY CLL DECILE GROUP,High,0,113,6
247591,ONCOLOGY CLL DECILE GROUP,High,7,5,7
256279,ONCOLOGY CLL DECILE GROUP,High,22,63,17
247890,ONCOLOGY CLL DECILE GROUP,High,5,377,7
256587,ONCOLOGY CLL DECILE GROUP,High,0,26,7
258018,ONCOLOGY CLL DECILE GROUP,High,0,63,13
258040,ONCOLOGY CLL DECILE GROUP,High,10,26,13
258186,ONCOLOGY CLL DECILE GROUP,High,1,223,1
258370,ONCOLOGY CLL DECILE GROUP,High,0,182,11
258472,ONCOLOGY CLL DECILE GROUP,High,0,74,9
259909,ONCOLOGY CLL DECILE GROUP,High,6,70,5
275490,ONCOLOGY CLL DECILE GROUP,High,49,148,1
263674,ONCOLOGY CLL DECILE GROUP,High,10,833,15
265565,ONCOLOGY CLL DECILE GROUP,High,8,38,16
278955,ONCOLOGY CLL DECILE GROUP,High,16,20,1
281323,ONCOLOGY CLL DECILE GROUP,High,27,119,8
